,Popular_cast,director_name,keywords,movie_genre,movie_id,overview,release_date,title
2099,['Joe Pesci' 'Mel Gibson' 'Rene Russo' 'Traci Wolfe' 'Ebonie Smith'],['Richard Donner'],"['showdown' 'police' 'mixed martial arts' 'los angeles, california'
 'rookie cop' 'wisecrack humor' 'buddy cop' 'lapd' 'maverick cop'
 'aftercreditsstinger' 'action hero']",['Adventure' 'Action' 'Comedy' 'Thriller' 'Crime'],943.0,"Archetypal buddy cops Riggs and Murtaugh are back for another round of high-stakes action, this time setting their collective sights on bringing down a former Los Angeles police lieutenant turned black market weapons dealer. Lorna Cole joins as the beautiful yet hardnosed internal affairs sergeant who catches Riggs's eye.",1992-05-15,Lethal Weapon 3
2100,"['Juno Temple' 'Kathryn Hahn' 'Josh Radnor' 'Jane Lynch'
 'Keegan-Michael Key']",['Joey Soloway'],['woman director'],['Comedy' 'Drama'],156708.0,"Rachel is a quick-witted and lovable stay-at-home mom. Frustrated with the realities of preschool auctions, a lacklustre sex life and career that's gone kaput, she visits a strip club to spice up her marriage and meets McKenna, a stripper she adopts as her live-in nanny.",2013-08-30,Afternoon Delight
2101,"['Eric Roberts' ""Tom 'Tiny' Lister Jr."" 'Laurence R. Harvey'
 'Robert LaSardo' 'Dieter Laser']",['Tom Six'],"['exploitation' 'sequel' 'gore' 'b movie' 'torture' 'torture porn'
 'ifc midnight']",['Horror'],94365.0,"Taking inspiration from The Human Centipede films, the warden of a notorious and troubled prison looks to create a 500-person human centipede as a solution to his problems.",2015-05-22,The Human Centipede 3 (Final Sequence)
2102,"['Ronny Cox' 'Jeremy Irvine' 'Michael Douglas' 'Hanna Mangan Lawrence'
 'Martin Palmer']",['Jean-Baptiste Léonetti'],['desert' 'hunting'],['Thriller'],284289.0,A high-rolling corporate shark and his impoverished young guide play the most dangerous game during a hunting trip in the Mojave Desert.,2014-09-06,Beyond the Reach
2103,['Mel Gibson' 'Helen Buday' 'Bruce Spence' 'Tina Turner' 'Tushka Bergen'],['George Miller' 'George Ogilvie'],"['dictator' 'dwarf' 'arena' 'sandstorm' 'villain'
 'post-apocalyptic future' 'dystopia' 'camel' 'australia' 'ex-cop' 'oasis'
 'sequel' 'tribe' 'wasteland' 'desert' 'cult film' 'adventurer'
 'post nuclear' 'action hero' 'good versus evil']",['Action' 'Adventure' 'Science Fiction'],9355.0,"Mad Max becomes a pawn in a decadent oasis of a technological society, and when exiled, becomes the deliverer of a colony of children.",1985-06-29,Mad Max Beyond Thunderdome
2104,"['Arnold Schwarzenegger' 'Michael Ironside' 'Sharon Stone' 'Dean Norris'
 'Ronny Cox']",['Paul Verhoeven'],"['oxygen' 'falsely accused' 'based on novel or book' 'resistance'
 'planet mars' 'double life' 'telepathy' 'mutant' 'hologram'
 'space colony' 'utopia' 'space travel' 'fake identity' 'secret agent'
 'dystopia' 'futuristic' 'villainess' 'cyberpunk' 'fictional war'
 'false memory' 'robot cop' 'implanted memory' 'action hero'
 'virtual world']",['Action' 'Adventure' 'Science Fiction'],861.0,"Construction worker Douglas Quaid's obsession with the planet Mars leads him to visit Recall, a company who manufacture memories. Something goes wrong during his memory implant turning Doug's life upside down and even to question what is reality and what isn't.",1990-06-01,Total Recall
2105,['Mel Gibson' 'Ashley Johnson' 'Judy Greer' 'Sarah Paulson' 'Helen Hunt'],['Nancy Meyers'],"['telepathy' 'womanizer' 'single father' 'super power' 'teenage daughter'
 'misogyny' 'advertising executive' 'woman director' 'female psyche']",['Comedy' 'Romance'],3981.0,"Advertising executive Nick Marshall is as cocky as they come, but what happens to a chauvinistic guy when he can suddenly hear what women are thinking? Nick gets passed over for a promotion, but after an accident enables him to hear women's thoughts, he puts his newfound talent to work against Darcy, his new boss, who seems to be infatuated with him.",2000-12-15,What Women Want
2106,"['Bruce Willis' 'Dave Bautista' 'Lydia Hull' ""Ryan O'Nan""
 'Tyler Jon Olson']",['Steven C. Miller'],"['bank' 'fbi' 'bank manager' 'traitor' 'investigation' 'police'
 'cincinnati' 'thief' 'heist' 'police station' 'bank robbery'
 'out of control' 'killers']",['Action' 'Crime' 'Thriller'],359412.0,An untraceable group of elite bank robbers is chased by a suicidal FBI agent who uncovers a deeper purpose behind the robbery-homicides.,2016-07-01,Marauders
2107,"['Kelly Reilly' 'Michael Fassbender' ""Jack O'Connell"" 'Thomas Turgoose'
 'Bronson Webb']",['James Watkins'],"['beach' 'husband wife relationship' 'lake' 'camping' 'rottweiler'
 'sadism' 'forest' 'revenge' 'survival' 'fear' 'couple' 'gang violence'
 'teenage killer']",['Horror' 'Thriller'],13510.0,"Eden Lake is a relentlessly tense and immaculately paced horror-thriller about modern youth gone wild. When a young couple goes to a remote wooded lake for a romantic getaway, their quiet weekend is shattered by an aggressive group of local kids. Rowdiness quickly turns to rage as the teens terrorize the couple in unimaginable ways, and a weekend outing becomes a bloody battle for survival.",2008-09-12,Eden Lake
2108,"['Robert Patrick' 'Elijah Wood' 'Luke Kirby' 'Christian Clemenson'
 'Mac Brandt']",['Amber Sealey'],"['prison' 'confession' 'florida' 'death row' 'based on true story'
 'serial killer' '1980s' 'fbi agent']",['Crime' 'History' 'Drama'],716594.0,The complicated relationship that formed between the FBI analyst Bill Hagmaier and serial killer Ted Bundy during Bundy's final years on death row.,2021-08-19,No Man of God
2109,['Walton Goggins' 'Matt Damon' 'Clive Owen' 'Brian Cox' 'Julia Stiles'],['Doug Liman'],"['paris, france' 'barcelona, spain' 'assassin' 'based on novel or book'
 'secret identity' 'amnesia' 'sniper' 'passport' 'mission of murder'
 'lovers' 'flashback' 'escape' 'shootout' 'foot chase' 'cell phone'
 'multiple identities' 'surveillance camera' 'hamburg, germany'
 'fishing boat' 'langley virginia' 'safe deposit box'
 'hand to hand combat' 'action hero' 'bourne' 'jason bourne']",['Action' 'Drama' 'Mystery' 'Thriller'],2501.0,"Wounded to the brink of death and suffering from amnesia, Jason Bourne is rescued at sea by a fisherman. With nothing to go on but a Swiss bank account number, he starts to reconstruct his life, but finds that many people he encounters want him dead. However, Bourne realizes that he has the combat and mental skills of a world-class spy—but who does he work for?",2002-06-14,The Bourne Identity
2110,"['James Earl Jones' 'Tracy Reed' 'George C. Scott' 'Keenan Wynn'
 'Laurence Herder']",['Stanley Kubrick'],"['usa president' 'general' 'cold war' 'strategic air command'
 'nuclear missile' 'satire' 'dark comedy' 'black and white' 'cult film'
 'war room' 'bomber pilot' 'nuclear weapons' 'ex-nazi' 'anti war'
 'doomsday device' 'absurdism' 'oscar nominated']",['Drama' 'Comedy' 'War'],935.0,"After the insane General Jack D. Ripper initiates a nuclear strike on the Soviet Union, a war room full of politicians, generals and a Russian diplomat all frantically try to stop the nuclear strike.",1964-01-29,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
2111,"['Mark Hamill' 'Tara Strong' 'Fred Tatasciore' 'Kevin Conroy'
 'John DiMaggio']",['Sam Liu'],"['carnival' 'psychopath' 'joker' 'superhero' 'based on comic'
 'descent into madness' 'torture' 'cruelty' 'justice' 'super power'
 'madness' 'batgirl']",['Action' 'Animation' 'Crime' 'Drama'],382322.0,"As Batman hunts for the escaped Joker, the Clown Prince of Crime attacks the Gordon family to prove a diabolical point mirroring his own fall into madness.",2016-07-24,Batman: The Killing Joke
2112,"['Florence Pugh' 'Lena Headey' 'Dwayne Johnson' 'Vince Vaughn'
 'Saraya-Jade Bevis']",['Stephen Merchant'],"['england' 'biography' 'wrestling' 'sports' 'based on true story'
 'family drama' 'family' 'norfolk']",['Comedy'],445629.0,"Born into a tight-knit wrestling family, Paige and her brother Zak are ecstatic when they get the once-in-a-lifetime opportunity to try out for the WWE. But when only Paige earns a spot in the competitive training program, she must leave her loved ones behind and face this new cutthroat world alone. Paige's journey pushes her to dig deep and ultimately prove to the world that what makes her different is the very thing that can make her a star.",2019-02-14,Fighting with My Family
2113,"['Ving Rhames' 'Joel David Moore' 'Kevin Sorbo' 'Saxon Sharbino'
 'Valerie Azlynn']",['P.J. Pettiette'],['rape and revenge'],['Horror'],84228.0,"Meeting a man on the Internet, Julia decides to see him in person, only to get abducted and branded with the letter ""x"" by that guy. A game of cat and mouse follows, but the story has an unexpected twist.",2011-09-24,Julia X
2114,"['Emmanuelle Vaugier' 'William Katt' 'Nick Stahl' 'Evan Jones'
 'Christy Carlson Romano']",['Víctor García'],['death'],['Horror' 'Mystery' 'Thriller'],46441.0,"When Max, who is recovering from a traumatic accident, takes a job as a nighttime security guard, he begins to see visions of a young mysterious woman in the store's mirror.",2010-10-18,Mirrors 2
